https://i.scdn.co/image/ab67616d0000b273cd7c3cba379ae624e118ebcb,Fresh Air,Serious,HOMESHAKE,0J6LNjtX37SlLbfnQKcmMW,07:46,0.506,0.571,0.684,0.475
https://i.scdn.co/image/ab67616d0000b273c705e4061a1de1139ced6554,Angel's Pulse,I Wanna C U,Blood Orange,4BD3sl4HjTAzWGVIP8LLm4,07:47,0.72,0.666,0.793,0.304
https://i.scdn.co/image/ab67616d0000b273281b57bfec5391971863c05a,Devotion,Say When,Tirzah,7kh8UmBeIItkXwarEFpFeu,07:52,0.142,0.316,0.555,0.188
https://i.scdn.co/image/ab67616d0000b27347dd2ca47ec9bf14559e17c6,Negro Swan,Nappy Wonder,Blood Orange,2ZGZV976wWwuA3qI3Q0q9k,07:54,0.161,0.423,0.657,0.481
https://i.scdn.co/image/ab67616d0000b2731a302aafa2ea587960e27951,Miss Anthropocene (Deluxe Edition),Violence - Club Mix,Grimes,57HNTVH3qpDVOGEzFB1dda,07:58,0.113,0.386,0.448,0.807
https://i.scdn.co/image/ab67616d0000b2732c8696d7273aae34bf911007,Boys by Girls,Talk,Instupendo,42gHuW4srN3bA2wWPyM2AE,07:28,0.74,0.634,0.735,0.219
https://i.scdn.co/image/ab67616d0000b273b0a300e99d926bb85d1efb23,B-Sides & Rarities,Everybody Gets A Car,Sen Morimoto,0LgsCqvHfa4YVA0lGGtrnU,07:30,0.511,0.5,0.545,0.388
https://i.scdn.co/image/ab67616d0000b273043864250fbec5f57c7076a7,Heaven To A Tortured Mind,Gospel For A New Century,Yves Tumor,46LX0sSwIU4GFLcj23ZfMA,07:33,0.715,0.657,0.565,0.726
https://i.scdn.co/image/ab67616d0000b27330fea82d18d2674a91c00e4f,Every Bad,(Something),Porridge Radio,2D5fCjQHnOsR84wZDX8v4c,07:35,0.0355,0.306,0.356,0.745
https://i.scdn.co/image/ab67616d0000b2738c894fac3d113f98885d3117,KiCk i,Mequetrefe,Arca,6RJiY28t9jWpdy1JkUhNgK,07:38,0.673,0.703,0.674,0.823
https://i.scdn.co/image/ab67616d0000b273b1150f77ae2fbf0d5b4715fc,When I Get Home,Nothing Without Intention (interlude),Solange,0uKYWr9wbXWXfQtyWGMItp,07:38,0.623,0.622,0.678,0.506
https://i.scdn.co/image/ab67616d0000b2739d6bd2afa2987a69b7b55f72,Cupid Deluxe,It Is What It Is,Blood Orange,0BPWY79wNehGVARtwJawYV,07:43,0.272,0.527,0.721,0.648
https://i.scdn.co/image/ab67616d0000b273cd7c3cba379ae624e118ebcb,Fresh Air,Serious,HOMESHAKE,0J6LNjtX37SlLbfnQKcmMW,07:46,0.506,0.571,0.684,0.475
https://i.scdn.co/image/ab67616d0000b273c705e4061a1de1139ced6554,Angel's Pulse,I Wanna C U,Blood Orange,4BD3sl4HjTAzWGVIP8LLm4,07:47,0.72,0.666,0.793,0.304
https://i.scdn.co/image/ab67616d0000b273281b57bfec5391971863c05a,Devotion,Say When,Tirzah,7kh8UmBeIItkXwarEFpFeu,07:52,0.142,0.316,0.555,0.188
https://i.scdn.co/image/ab67616d0000b27347dd2ca47ec9bf14559e17c6,Negro Swan,Nappy Wonder,Blood Orange,2ZGZV976wWwuA3qI3Q0q9k,07:54,0.161,0.423,0.657,0.481
https://i.scdn.co/image/ab67616d0000b2731a302aafa2ea587960e27951,Miss Anthropocene (Deluxe Edition),Violence - Club Mix,Grimes,57HNTVH3qpDVOGEzFB1dda,07:58,0.113,0.386,0.448,0.807
https://i.scdn.co/image/ab67616d0000b27337e744667c098ff2669b4d4f,direct line to My Creator,September,duendita,5dJqLtc2yy7zxBDkTkf6Ux,08:02,0.0531,0.155,0.236,0.196
https://i.scdn.co/image/ab67616d0000b273110090c137e40673e1466462,Unknown Mortal Orchestra,Nerve Damage!,Unknown Mortal Orchestra,4CiOxztA3id0eztX760roU,08:14,0.462,0.51,0.398,0.828
https://i.scdn.co/image/ab67616d0000b2731c4540d0ecafaa45305aa5a0,A Seat at the Table,Junie,Solange,5lMugQF80AuN6uukFJLT58,08:26,0.652,0.736,0.826,0.724
https://i.scdn.co/image/ab67616d0000b2732c8696d7273aae34bf911007,Boys by Girls,Talk,Instupendo,42gHuW4srN3bA2wWPyM2AE,07:28,0.74,0.634,0.735,0.219
