https://i.scdn.co/image/ab67616d0000b2733ceb0822e9ea57dc74e04796,Porch,Porch,ICECOLDBISHOP,6HDjm7AL2laUvYT6mIKK2z,11:59,0.521,0.587,0.769,0.597
https://i.scdn.co/image/ab67616d0000b2733ceb0822e9ea57dc74e04796,Porch,Porch,ICECOLDBISHOP,6HDjm7AL2laUvYT6mIKK2z,11:59,0.521,0.587,0.769,0.597
https://i.scdn.co/image/ab67616d0000b2733ceb0822e9ea57dc74e04796,Porch,Porch,ICECOLDBISHOP,6HDjm7AL2laUvYT6mIKK2z,12:02,0.521,0.587,0.769,0.597
https://i.scdn.co/image/ab67616d0000b27310d09e6d7b4915d9e2b440f4,TRICK DADDY,TRICK DADDY,ICECOLDBISHOP,7FB01HsJaPUtozXAEAAsFH,12:05,0.479,0.958,0.665,0.708
https://i.scdn.co/image/ab67616d0000b2733ceb0822e9ea57dc74e04796,Porch,Porch,ICECOLDBISHOP,6HDjm7AL2laUvYT6mIKK2z,12:02,0.521,0.587,0.769,0.597
https://i.scdn.co/image/ab67616d0000b27310d09e6d7b4915d9e2b440f4,TRICK DADDY,TRICK DADDY,ICECOLDBISHOP,7FB01HsJaPUtozXAEAAsFH,12:05,0.479,0.958,0.665,0.708
https://i.scdn.co/image/ab67616d0000b273eded6d1cf598457b4d2c1f2b,BITCH PLEASE,BITCH PLEASE,ICECOLDBISHOP,1pbUKhqtFNwwuPcOIixq3Y,17:17,0.814,0.913,0.429,0.777
https://i.scdn.co/image/ab67616d0000b2733417ec05e9fd96154841bd86,You Hid (Instrumental),Causers of This (Instrumentals),Toro y Moi,6zeSij906zwlbEhn7U2krU,17:20,0.402,0.724,0.577,0.566
https://i.scdn.co/image/ab67616d0000b2736bdf32d53f9f5dccc09dbcbe,Windows,Boo Boo,Toro y Moi,0hK8fijUmBJCgeGksHApon,17:25,0.236,0.391,0.623,0.375
https://i.scdn.co/image/ab67616d0000b27377b08ffd1ea32abba3672bb6,New Beat,Underneath The Pine,Toro y Moi,7jWIolCo1nHYaAmOvFH0Lo,17:29,0.846,0.747,0.673,0.772
https://i.scdn.co/image/ab67616d0000b2733417ec05e9fd96154841bd86,Minors (Instrumental),Causers of This (Instrumentals),Toro y Moi,3MlFGzgveQMdaErq3J51Bj,17:32,0.503,0.521,0.689,0.547
https://i.scdn.co/image/ab67616d0000b2739ebc248254e05f1e4c50dc7e,Half Dome,Live from Trona,Toro y Moi,0PD1bQuK4ib9tj0fqF5swi,17:51,0.425,0.523,0.868,0.553
https://i.scdn.co/image/ab67616d0000b2739ebc248254e05f1e4c50dc7e,Divina,Live from Trona,Toro y Moi,55KyrCLEx9y3J7fHfbH23A,17:53,0.298,0.602,0.487,0.457
https://i.scdn.co/image/ab67616d0000b27359d3464baad210c0aa61bc33,Saturday Love,Freaking Out,Toro y Moi,1BIZXYxk5ACcNibwCH5MXw,17:57,0.749,0.586,0.915,0.717
https://i.scdn.co/image/ab67616d0000b273eded6d1cf598457b4d2c1f2b,BITCH PLEASE,BITCH PLEASE,ICECOLDBISHOP,1pbUKhqtFNwwuPcOIixq3Y,17:17,0.814,0.913,0.429,0.777
https://i.scdn.co/image/ab67616d0000b2733417ec05e9fd96154841bd86,You Hid (Instrumental),Causers of This (Instrumentals),Toro y Moi,6zeSij906zwlbEhn7U2krU,17:20,0.402,0.724,0.577,0.566
https://i.scdn.co/image/ab67616d0000b2736bdf32d53f9f5dccc09dbcbe,Windows,Boo Boo,Toro y Moi,0hK8fijUmBJCgeGksHApon,17:25,0.236,0.391,0.623,0.375
https://i.scdn.co/image/ab67616d0000b27377b08ffd1ea32abba3672bb6,New Beat,Underneath The Pine,Toro y Moi,7jWIolCo1nHYaAmOvFH0Lo,17:29,0.846,0.747,0.673,0.772
https://i.scdn.co/image/ab67616d0000b2733417ec05e9fd96154841bd86,Minors (Instrumental),Causers of This (Instrumentals),Toro y Moi,3MlFGzgveQMdaErq3J51Bj,17:32,0.503,0.521,0.689,0.547
https://i.scdn.co/image/ab67616d0000b2739ebc248254e05f1e4c50dc7e,Half Dome,Live from Trona,Toro y Moi,0PD1bQuK4ib9tj0fqF5swi,17:51,0.425,0.523,0.868,0.553
https://i.scdn.co/image/ab67616d0000b2739ebc248254e05f1e4c50dc7e,Divina,Live from Trona,Toro y Moi,55KyrCLEx9y3J7fHfbH23A,17:53,0.298,0.602,0.487,0.457
https://i.scdn.co/image/ab67616d0000b27359d3464baad210c0aa61bc33,Saturday Love,Freaking Out,Toro y Moi,1BIZXYxk5ACcNibwCH5MXw,17:57,0.749,0.586,0.915,0.717
